[2022-05-09 07:34:01.326] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.326] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_front_wide/camera_front_wide
[2022-05-09 07:34:01.329] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.329] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_front_wide/camera_front_wide
[2022-05-09 07:34:01.331] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.331] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_left_front/camera_left_front
[2022-05-09 07:34:01.333] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.333] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_left_front/camera_left_front
[2022-05-09 07:34:01.336] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.336] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_left_front/camera_left_front
[2022-05-09 07:34:01.338] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.338] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_left_front/camera_left_front
[2022-05-09 07:34:01.341] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.341] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_left_front/camera_left_front
[2022-05-09 07:34:01.343] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.343] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_left_front/camera_left_front
[2022-05-09 07:34:01.345] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.345] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_left_front/camera_left_front
[2022-05-09 07:34:01.348] [uploader] [info] [data_manager.cpp:54] RUN exit code: 0
[2022-05-09 07:34:01.348] [uploader] [info] [data_manager.cpp:52] COMMAND: mkdir -p /workdir/data/2022-05-09-07-06-13/camera_left_front/camera_left_front
